loan_number,amount_borrowed,borrower_rate,prosper_rating,term,age_in_months,origination_date,days_past_due,principal_balance,service_fees_paid,principal_paid,interest_paid,prosper_fees_paid,late_fees_paid,debt_sale_proceeds_received,loan_status,loan_default_reason,loan_default_reason_description,next_payment_due_date,next_payment_due_amount,co_borrower_application,listing_start_date,listing_end_date,listing_creation_date,loan_origination_date,listing_status,listing_status_reason,verification_stage,listing_amount,amount_funded,amount_remaining,percent_funded,partial_funding_indicator,funding_threshold,estimated_return,estimated_loss_rate,lender_yield,effective_yield,borrower_apr,listing_term,monthly_payment,scorex,scorex_change,fico_score,prosper_score,listing_category_id,income_range,income_range_description,monthly_income,income_verifiable,employment_status_description,occupation,months_employed,borrower_state,borrower_city,borrower_metropolitan_area,prior_prosper_loans_active,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loans_late_payments_one_month_plus,max_prior_prosper_loan,min_prior_prosper_loan,prior_prosper_loan_earliest_pay_off,prior_prosper_loans31dpd,prior_prosper_loans61dpd,lender_indicator,group_indicator,group_name,channel_code,current_delinquencies,delinquencies_last7_years,public_records_last10_years,public_records_last12_months,first_recorded_credit_line,credit_lines_last7_years,inquiries_last6_months,amount_delinquent,current_credit_lines,open_credit_lines,bankcard_utilization,total_open_revolving_accounts,installment_balance,real_estate_balance,revolving_balance,real_estate_payment,revolving_available_percent,total_inquiries,total_trade_items,satisfactory_accounts,now_delinquent_derog,was_delinquent_derog,oldest_trade_open_date,delinquencies_over30_days,delinquencies_over60_days,delinquencies_over90_days,is_homeowner,investment_typeid,investment_type_description,whole_loan_start_date,whole_loan_end_date,last_updated_date,TUFicoRange,TUFicoDate,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,validity,bad_loan,EMI,balance_income
1548838.3282225109,16241,0.1565611784742192,A,29.22008079602009,6.7262712791855845,,-16.439825021815665,-7631.534846941686,-37.14320714490762,2456.018615351622,295.65085638811706,-4.936534843732705,-12.71222907970358,0.0,0,2.7009110572665613,PaidInFull,2022-01-03 00:00:00,508.4421570179343,,2021-03-02 14:01:18.150,2021-11-15 08:08:15.603,2021-09-25 10:42:18.980000000,,6.0,Completed,,8298.735059569695,16241,0.0,1.0,,0.978953843064686,0.06320594313036,0.1290863363189987,0.1306419250235953,0.135660260331189,0.2351840341969292,29.22008079602009,515.9948733180879,,,,4.7449938040478505,0.979248792877212,5.290256082002916,"$25,000-49,999",9965.568893315722,,Retired,Architect,222.5096090828073,NE,FulLerton,(Not Implemented),1.488473933937561,-2.6444734917356705,-75346.46907382866,-10429.48904889511,0.0,-3.586804288561618,1.3025705088125137,3.2556547186066718,-0.1671090503259399,12896.27109167207,16070.340829454615,36.570801342701856,0.8606720738931817,1.0573995287702385,-0.0150637499889457,,,66805.37211541449,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.659733236466182,Whole,2021-09-07 07:30:47.983000000,,2022-01-20 08:01:06.600000000,680-699,2021-09-16 17:12:45.012,-1696.0093274757965,,0.0902224295809196,22984.99673470996,Valid,0.0,555.8163960385798,9409.752497277143
1728436.2208513394,13982,0.1510989963816952,A,44.58850415207768,10.793383596311047,,0.7490401434017364,14712.269675359055,-94.82197747774126,6430.223189685539,-292.15765127221766,3.902751701997018,-4.573129964289634,0.0,1,2.496003388285775,PaidInFull,2021-07-16 00:00:00,439.736599566338,,2021-08-06 08:02:25.103,2021-11-18 19:41:54.537,2021-03-10 08:39:02.233000000,,6.0,Completed,,22536.157915220298,13982,0.0,1.0,,0.9368366194400596,0.073574208198008,0.0279178970865128,0.0990271473821999,0.1353889514448333,0.1247838836365433,44.58850415207768,440.6752241566496,,,,12.342869710408152,8.618764073372184,5.22108689805212,"$75,000-99,999",5007.596206105332,,Retired,Nurse's Aide,-25.964539420615807,IN,VESTAL,(Not Implemented),3.126888932323526,1.2323913097742003,81893.39268037588,4479.331519080306,0.0,-2.2131160761885766,22.99307866013465,-3.814018314978306,0.6689522555311423,13592.439449206458,7414.032633837175,8.99325557708848,1.131018249684386,0.8366831393999958,-0.021667038777226,,,90541.6975564322,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.620926106733401,Fractional,2021-02-04 13:29:08.757000000,,2021-09-20 13:56:32.290000000,760-779,2021-10-25 07:31:56.627,3559.968269478873,,0.1780215548226828,9638.633941495606,Valid,1.0,313.57858411916436,4694.017621986168
1575303.905227899,10646,0.1154502761991788,C,44.07847021857133,8.30750547784215,,-9.516162043191107,-9067.094689538284,-148.573146334542,7698.288448586025,547.6511156958584,14.3886510400351,-8.056593052791593,0.0,1,2.7380406507732435,Bankruptcy,2022-02-28 00:00:00,307.4210686152759,,2021-05-15 11:02:48.160,2021-03-03 15:12:07.697,2021-10-28 21:08:09.867000000,,6.0,Completed,,24036.282072145907,10646,0.0,1.0,,0.9551461034590744,0.0911237150800711,0.0352502782722144,0.2172491621998284,0.1502559824196734,0.1394179257689958,44.07847021857133,421.5786991118949,,,,8.567388669546016,0.7960971087374431,5.647429019670371,"$25,000-49,999",4275.533264078264,,Retired,Chemist,212.89741688444343,LA,Volo,(Not Implemented),1.3179997120906517,0.1233782482225708,17926.74655323624,-24599.524285243915,0.0,8.636816471374765,11.489078150002417,-0.1375159449803022,2.3489339465788674,1118.789799704753,16619.710777707864,32.643475270985206,1.1121195266850086,1.4438063705750863,0.0659620245916235,,,43394.853510255765,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5663593188692375,Whole,2021-11-18 07:45:48.690000000,,2021-05-20 09:53:22.897000000,600-619,2021-08-12 05:43:59.371,-288.8255067551927,,0.1257764438114195,17786.75128072869,Valid,1.0,241.52380849902048,4034.009455579244
1621849.317331985,13153,0.1884032484789569,C,55.03715557937771,6.807666848883385,,11.190628576551102,8306.461202398916,-12.849096729208838,-4323.161404702119,1129.0338549249786,6.152383915721593,-1.2075470130682806,0.0,1,3.151824441547675,,2021-03-25 00:00:00,328.6466748702638,,2021-09-08 08:00:51.227,2021-02-24 14:08:46.067,2021-05-02 10:28:44.773000000,,6.0,Completed,,6359.126888990987,13153,0.0,1.0,,0.8289417324551565,0.0428524510498883,0.0011131049651476,0.0785235201459869,0.1203856358332877,0.0780162479491573,55.03715557937771,-142.3468304083791,,,,5.67915246844337,5.038863222819915,4.075341292844376,"$75,000-99,999",19711.05077006728,,Employed,Engineer - Mechanical,39.71452710057075,AZ,GARRETTSVILLE,(Not Implemented),-0.4040846093723447,1.7292396450475764,113220.47430480312,12935.61015690369,0.0,9.422781713420598,19.64954361042401,7.68928228162976,0.1132254709388488,15332.481542812477,16564.482702256522,35.55075628247416,1.112510529242846,0.9544488640277992,0.0558295096295971,,,52580.722795876274,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.147050033245553,Fractional,2021-05-30 08:25:32.390000000,,2022-03-01 06:25:29.277000000,640-659,2021-08-13 15:16:12.360,-811.7039165730286,,0.2695488534826683,15042.265133501529,Valid,1.0,238.98400746800942,19472.06676259927
1577598.9522043157,12577,0.1955451125767575,AA,39.52889721850317,7.703459022149241,,21.717722033618237,17844.60565494278,21.64529382311161,5484.496269562146,694.193788294265,1.1225866942347449,-4.660950272833118,0.0,0,3.301683045025625,PaidInFull,2021-08-11 00:00:00,425.4966690783781,,2021-04-22 08:00:25.567,2021-05-10 08:08:01.733,2021-01-22 05:41:40.640000000,,6.0,Completed,,2796.56164747428,12577,0.0,1.0,,0.7462520049109315,0.056822768928213,0.0694427332666793,0.1307062048354776,0.1233541908555408,0.1838062947491063,39.52889721850317,741.3534274209314,,,,8.867986949214396,-4.097479456869389,4.53293060188448,"$1-24,999",3650.7763570028983,,Self-employed,Fireman,93.08815084243024,NY,Guntersville,(Not Implemented),0.4569653671510499,4.083423681172693,3961.844740580076,13997.824192615528,0.0,38.94655445781968,7.958781100310251,-5.853942712408067,-1.5746433373049096,8337.944714997026,4581.572776348291,12.896966193311007,0.6338147374180656,1.0637328454962551,0.0025883381868369,,,34702.69061023853,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3597033255576831,Whole,2021-04-12 13:44:05.203000000,,2021-11-09 14:09:06.597000000,780-799,2021-07-04 14:03:22.002,-3296.054657979757,,0.1286516914184675,8139.678384487641,Valid,0.0,318.1722963450851,3332.604060657813
1623144.44066215,4236,0.0823784939888168,E,54.07112385438754,11.294609537209986,,5.858659017443118,9609.376878988163,-49.72307031690547,9513.625648694077,683.6193600021121,3.076974365990305,-6.510209077437212,0.0,0,3.2557988441041816,PaidInFull,2021-05-04 00:00:00,662.0946887374097,,2021-07-29 14:02:15.233,2021-11-10 14:08:25.757,2021-05-10 15:12:20.923000000,,6.0,Completed,,26624.54705942318,4236,0.0,1.0,,0.8749378093973488,0.0668930733263221,0.0365124240205276,0.1132988443129522,0.2091409387250841,0.1034641021784211,54.07112385438754,318.0550027009356,,,,5.433270558942267,7.933310853696878,3.855275297478988,"$100,000+",3253.9471551484885,,Self-employed,Food Service,241.89185773530204,PA,SOUTH GATE,(Not Implemented),0.8353330513562638,-1.0239798512884333,12150.144814082632,-29495.445218870103,0.0,25.572695821753133,-9.364061344546917,1.554530208679053,1.0975045825828968,26532.345533747768,15797.584999841874,37.45796915959936,1.3210833324742153,0.9318379020945048,0.090407601826337,,,68017.99659846172,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.227589486006629,Fractional,2021-10-23 10:12:32.187000000,,2022-02-19 00:07:07.337000000,680-699,2021-08-16 06:47:18.968,1963.184054044884,,0.0889641649381909,17043.408838447227,Valid,1.0,78.34126051101627,3175.6058946374724
1639195.7904780994,18399,0.2220979835973495,HR,33.64970927847281,11.345568799582148,,17.146355897177248,16442.319853986563,-201.7259938233636,-1058.7539023627992,281.3697304811408,-2.9287035350544195,5.987445720258691,0.0,0,3.4940562147590684,,2021-03-23 00:00:00,201.17846706751183,,2021-09-03 14:01:34.400,2022-01-15 11:12:03.447,2021-05-18 11:09:41.220000000,,6.0,Completed,,-3067.500416432489,18399,0.0,1.0,,0.9897117602593412,0.074142348683799,0.0063894986986375,0.0740392787172574,0.1095138971440567,0.1607610219992858,33.64970927847281,-75.41897321672195,,,,11.620924772257045,-10.945719521418551,3.2814540182270617,"$75,000-99,999",7949.587305525589,,Self-employed,Attorney,106.95496730196976,KS,McCordsville,(Not Implemented),-2.11321489339297,0.6116138757958299,-60919.27750350598,9961.86478127704,0.0,-7.235585086941921,-5.324911184091082,-0.4276030086468857,1.9435438965212664,10321.359142632937,14499.629983671846,5.36962327669147,0.9458084290466374,0.9831200707979496,0.0375095360280235,,,91921.66057601404,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.057028913586575,Whole,2022-01-11 13:48:36.880000000,,2022-02-14 21:17:59.690000000,600-619,2021-12-13 08:18:08.676,2569.949445022059,,0.2736915329125614,10216.126774576696,Valid,1.0,546.7803554478446,7402.806950077744
1666918.091694913,17722,0.1034017338912388,A,51.37124996898487,12.864772164515268,,-23.057416283065592,6380.0129454326325,-104.1606786293858,8218.075605512564,1294.141674861712,7.503945307860384,-9.2980760667939,0.0,0,3.16344108758675,Deceased,2022-02-22 00:00:00,330.6819353758184,,2021-10-04 14:03:08.963,2021-07-26 12:40:44.240,2021-09-08 09:28:52.150000000,,6.0,Completed,,10626.494782578846,17722,0.0,1.0,,1.0409722965178485,0.0449413695162794,0.069377147411097,0.1133327830392419,0.1226882479868782,0.2231192833841716,51.37124996898487,678.80414764665,,,,7.176346696539708,-3.6037986524470496,3.463428785719045,"$1-24,999",2915.458001208747,,Other,Chemist,175.76785685583175,HI,Syosset,(Not Implemented),0.4032668856852543,0.6265686158086506,54011.80508524628,2663.6451447803406,0.0,-27.680444025029512,-22.78741045426456,2.156606890041437,-1.3110820477496554,1401.0400819896713,7725.743335124502,14.362654842169723,1.0792129887930713,0.9232291763846396,0.0664532096751647,,,68355.21326576627,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1564254504348632,Whole,2021-03-04 13:46:45.227000000,,2022-02-20 20:08:48.423000000,680-699,2021-04-16 11:43:52.156,2297.210257722681,,0.2101785591417969,16387.6298261275,Valid,1.0,344.9789524432356,2570.479048765512
1589744.223545241,23544,0.0918284329148454,AA,36.46920316962368,6.565785028346888,,-17.843899780327654,12600.42227940575,7.136068516406823,11493.120889881582,1247.38736311919,9.71790346136336,6.1098915382167895,0.0,0,3.564743054876817,,2021-02-19 00:00:00,106.9841446590544,,2021-08-26 14:00:32.023,2021-11-01 16:22:19.540,2021-04-23 13:38:14.157000000,,6.0,Completed,,21838.760455543543,23544,0.0,1.0,,0.9062573133538177,0.0648606977256658,0.0343085485256986,0.0712696939901008,0.122646186642707,0.1031798901693555,36.46920316962368,402.9280904911899,,,,11.278674245344796,1.9778019059747165,4.483365930246744,"$100,000+",3886.155737079889,,Self-employed,Religious,25.542307717541263,SD,GODDARD,(Not Implemented),0.5770651373273262,-2.207846641531786,56898.77013764613,10073.61147834502,0.0,22.06362698281652,-13.015242123003704,-2.4398813994997206,0.1207240384619375,8529.367970491307,6869.625654935623,-1.242324752652042,1.4221002510795984,0.8694717655078177,0.0223268027487144,,,47126.4388430772,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.836811228453623,Fractional,2021-08-01 09:35:05.793000000,,2021-09-30 13:55:16.583000000,700-719,2021-07-01 05:58:40.721,2567.181337811213,,0.137556386085132,12880.573035876048,Valid,0.0,645.5858081267462,3240.569928953143
1597469.2184541011,16164,0.117310145127407,B,39.25542934436641,9.885273754509749,,-2.2060604827546064,5047.15511351483,-187.85175312537896,10597.234135287112,-463.1652047768955,-2.4901593602668157,-4.097887620282337,0.0,0,1.7222054527983268,Bankruptcy,2021-11-03 00:00:00,725.871207697008,,2021-10-10 11:02:34.277,2021-03-24 14:07:33.563,2021-09-24 06:09:49.527000000,,6.0,Completed,,6095.268563753465,16164,0.0,1.0,,0.9035149127208604,0.0783719083832304,0.0269921314247285,0.0121823485074219,0.0936882846327799,0.1953344748299254,39.25542934436641,577.3466660714652,,,,2.779058741462383,10.643964948346683,3.97035474935689,"$25,000-49,999",3130.363595731154,,Retired,Student - Technical School,113.20617632952673,AR,EVERGREEN PK,(Not Implemented),0.7062389845720094,-0.6235533194564129,77222.88217474465,3401.91299233835,0.0,30.44326054937431,-6.610211955371758,3.075742322789936,0.3746337465918082,-6144.183155262799,2202.595902627192,-2.132123357863257,0.8790608347491407,0.9861784200738452,-0.1513160763434965,,,54102.12749564729,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9422611238552103,Fractional,2021-02-14 08:21:32.070000000,,2021-11-05 14:48:12.160000000,600-619,2021-04-05 06:38:34.341,707.5494572014139,,0.3255453624024241,8460.941524691132,Valid,0.0,411.76469777472226,2718.5988979564318
